Day of week,Hrs,Mins,Stage,No.of waiting patients,Reason,Service time (secs)
6,19,48,4,34,4,80
6,0,21,2,47,0,911
3,18,1,4,30,2,93
5,19,58,2,40,2,3578
6,16,36,4,5,4,95
4,11,49,2,3,2,4303
4,21,14,2,33,4,1091
1,20,11,2,44,4,1078
5,12,32,2,44,0,912
6,15,41,4,14,1,79
0,21,34,2,46,3,1542
1,18,10,4,5,3,82
3,20,13,2,42,2,3745
0,11,38,4,23,1,76
1,18,22,2,21,0,891
1,19,39,2,23,2,3284
5,9,9,2,9,4,1093
5,18,32,3,33,4,47
3,18,12,3,41,3,64
6,17,53,2,1,1,2363
2,19,26,2,12,4,1088
6,14,30,2,16,0,889
1,20,13,3,5,4,81
4,21,1,3,49,0,58
2,11,9,2,45,1,2361
1,19,48,2,11,1,2345
5,21,11,4,45,2,107
5,21,42,2,34,3,1479
4,18,52,3,27,1,83
2,19,40,3,44,4,86
2,19,41,2,16,2,3578
2,18,28,2,9,1,2295
1,20,0,2,6,2,4265
3,21,54,2,0,3,1804
3,18,24,2,20,0,907
5,18,21,4,15,2,93
1,21,43,2,2,0,896
0,0,2,2,39,0,880
1,10,48,3,24,3,51
6,11,40,2,1,2,4091
2,19,19,2,13,3,1537
0,10,49,4,49,0,94
1,20,2,4,34,4,87
1,12,51,2,8,2,3597
0,18,1,2,41,1,2458
2,19,26,2,21,3,1525
3,12,25,4,1,2,87
1,11,30,2,39,0,789
0,14,27,2,45,2,3405
6,10,13,2,17,2,3344
4,19,8,3,28,2,49
6,16,8,4,33,2,84
6,17,10,4,1,3,86
3,19,38,2,30,3,1450
5,9,23,2,36,3,1365
0,0,51,2,6,0,890
2,18,23,2,6,0,902
5,11,41,4,32,2,111
5,21,8,3,0,3,74
5,12,33,3,20,4,64
4,9,7,2,14,4,1092
1,12,6,2,23,2,3579
3,21,36,4,31,2,69
0,17,47,2,3,0,894
4,20,49,4,40,0,97
2,20,17,3,0,4,89
4,19,34,2,12,2,3678
5,9,40,4,27,4,95
0,16,31,2,11,2,3794
4,12,22,4,22,2,78
6,15,10,2,34,0,897
4,12,44,4,28,1,60
2,21,1,4,19,3,94
3,12,56,2,5,3,1716
4,21,17,2,9,1,2382
3,18,50,2,16,2,4322
3,10,18,2,26,0,1121
1,21,30,4,40,3,71
6,0,18,2,46,1,2409
0,17,23,2,40,4,1377
2,19,44,2,20,1,2318
3,18,24,3,39,2,52
5,20,22,4,23,1,96
3,21,49,2,34,3,1555
6,20,23,3,27,2,71
6,17,0,2,47,4,933
5,12,12,2,0,1,2330
0,18,31,2,14,0,677
4,19,14,2,22,1,2445
2,12,24,2,20,3,1468
4,10,3,2,11,0,906
2,19,31,2,12,4,1085
5,21,28,2,35,2,2543
4,9,53,2,13,4,1064
0,15,47,2,42,3,1483
4,21,59,4,31,1,110
4,19,38,2,36,1,2306
1,18,34,2,9,2,3746
1,9,46,2,16,0,917
2,9,46,2,35,1,2374
4,19,51,2,36,1,2092
6,14,6,3,25,4,77
6,19,5,3,25,2,76
2,11,4,2,30,3,1255
5,10,30,3,44,4,68
2,21,35,3,38,2,53
1,19,40,2,45,4,1090
6,15,43,2,45,2,3311
4,21,49,3,37,2,54
0,14,10,2,7,0,914
0,14,53,3,16,3,78
3,19,16,2,21,1,2371
6,9,1,3,11,2,63
5,19,42,2,3,1,2298
3,21,8,2,33,1,2008
4,20,43,2,39,4,1069
0,14,54,2,26,1,2293
2,18,36,2,4,3,1520
2,20,20,2,35,3,1569
1,11,39,3,26,3,62
5,10,59,2,23,2,3507
1,21,2,4,21,0,72
0,11,5,2,5,2,3423
6,19,58,2,9,1,2076
1,18,27,2,34,2,3522
6,9,43,4,45,3,100
4,20,40,3,38,0,65
5,21,33,2,46,3,1448
3,12,28,2,9,0,1214
3,9,35,4,44,2,88
5,19,46,2,36,4,1078
5,12,48,2,7,4,1078
1,10,8,2,30,0,1127
1,21,12,2,11,2,3330
4,12,23,2,4,2,3798
3,11,56,2,45,4,1234
6,10,5,2,19,0,912
6,10,53,4,48,0,82
4,18,15,2,10,4,923
3,19,7,2,31,2,2486
5,20,14,2,45,4,1069
6,0,32,3,26,3,74
5,18,23,3,14,2,41
3,20,42,2,4,3,1576
3,18,1,2,27,2,3646
6,11,18,2,37,1,2559
0,16,11,4,7,4,84
3,20,15,2,9,3,1423
2,19,41,2,2,4,1032
1,21,24,2,49,1,2451
5,18,25,2,38,0,917
3,20,25,4,39,1,95
3,19,25,2,19,3,1789
5,19,43,2,10,0,910
5,18,38,3,41,3,77
3,20,9,2,44,0,890
0,18,20,2,3,1,2356
2,21,19,2,7,2,4596
4,19,47,2,15,4,1095
6,9,43,2,16,2,3627
6,17,22,2,39,4,1374
3,12,59,2,21,0,905
1,10,31,3,18,1,53
4,18,34,2,44,3,1492
0,20,35,2,11,0,629
4,21,28,2,7,0,900
0,18,46,2,43,3,1432
6,11,8,2,7,0,1195
0,16,10,3,43,2,50
0,0,4,4,19,3,82
6,0,50,2,31,4,1072
4,19,18,2,20,3,1425
5,10,6,2,15,3,1283
0,12,38,4,7,3,108
4,20,13,2,44,0,917
4,18,32,2,9,0,908
0,11,19,3,6,1,50
3,18,46,2,14,4,1094
0,19,27,3,24,3,74
3,19,47,2,6,4,1078
5,21,27,2,34,3,1485
6,18,6,2,37,2,3624
0,9,15,2,37,0,896
0,12,31,2,0,4,1213
3,9,36,2,4,0,914
2,19,22,2,45,3,1470
4,21,2,4,20,4,119
0,11,58,2,29,4,1085
5,21,14,2,6,4,1191
0,11,12,3,13,3,63
3,21,31,2,18,0,904
6,17,22,2,47,2,3785
0,12,15,2,42,4,1099
0,21,18,4,14,0,94
5,18,32,2,24,2,3582
6,0,56,4,31,1,92
6,9,51,2,49,4,1069
6,11,54,2,44,4,1063
4,11,57,2,32,3,1490
5,18,54,2,13,2,3388
3,20,59,2,28,2,3332
5,18,49,4,35,4,65
5,21,27,2,5,0,905
6,19,2,4,21,0,105
4,12,44,2,15,0,917
6,17,37,4,3,0,84
3,19,17,2,21,1,2440
2,18,38,2,26,2,4367
4,19,41,2,31,4,1069
2,19,51,4,6,0,86
2,10,6,2,18,0,880
1,19,52,3,2,1,52
5,19,16,3,8,0,82
6,16,47,2,14,3,1543
2,21,40,2,47,4,1067
3,21,52,2,45,2,3338
4,19,14,3,34,1,65
5,12,49,4,12,3,95
6,18,50,2,19,0,908
6,16,2,3,21,2,50
2,9,40,2,39,2,3664
5,20,29,3,14,3,74
2,19,35,2,18,4,937
6,21,52,4,11,3,94
4,18,23,2,14,4,1093
3,20,59,2,21,4,1079
5,18,7,4,31,1,96
6,15,21,2,26,2,3633
3,21,39,2,40,1,2425
1,20,21,2,26,0,620
1,21,44,2,6,3,1510
6,18,42,2,47,4,843
3,9,57,2,36,0,988
6,18,19,2,29,3,1776
5,20,52,4,20,2,62
3,21,31,2,4,3,1421
6,15,15,3,22,4,42
2,18,53,3,27,2,79
5,18,54,2,31,3,1906
6,21,23,4,37,1,81
2,21,2,2,44,0,902
